"row","n_missing","p","pct_missing","dataset"
1,4,2923,0.13684570646596,"proteome"
2,150,2923,5.13171399247349,"proteome"
3,7,2923,0.239479986315429,"proteome"
4,7,2923,0.239479986315429,"proteome"
5,99,2923,3.3869312350325,"proteome"
6,1,2923,0.0342114266164899,"proteome"
7,3,2923,0.10263427984947,"proteome"
8,23,2923,0.786862812179268,"proteome"
9,17,2923,0.581594252480328,"proteome"
10,9,2923,0.307902839548409,"proteome"
11,225,2923,7.69757098871023,"proteome"
12,79,2923,2.7027027027027,"proteome"
13,221,2923,7.56072528224427,"proteome"
14,3,2923,0.10263427984947,"proteome"
15,3,2923,0.10263427984947,"proteome"
16,1,2923,0.0342114266164899,"proteome"
17,15,2923,0.513171399247349,"proteome"
18,6,2923,0.205268559698939,"proteome"
19,3,2923,0.10263427984947,"proteome"
20,3,2923,0.10263427984947,"proteome"
21,312,2923,10.6739651043449,"proteome"
22,6,2923,0.205268559698939,"proteome"
23,99,2923,3.3869312350325,"proteome"
24,75,2923,2.56585699623674,"proteome"
25,78,2923,2.66849127608621,"proteome"
26,202,2923,6.91070817653096,"proteome"
27,1478,2923,50.5644885391721,"proteome"
28,1461,2923,49.9828942866918,"proteome"
29,762,2923,26.0691070817653,"proteome"
30,1464,2923,50.0855285665412,"proteome"
31,1462,2923,50.0171057133082,"proteome"
32,4,2923,0.13684570646596,"proteome"
33,16,2923,0.547382825863839,"proteome"
34,4,2923,0.13684570646596,"proteome"
35,144,2923,4.92644543277455,"proteome"
36,116,2923,3.96852548751283,"proteome"
37,117,2923,4.00273691412932,"proteome"
38,6,2923,0.205268559698939,"proteome"
39,209,2923,7.15018816284639,"proteome"
40,17,2923,0.581594252480328,"proteome"
41,4,2923,0.13684570646596,"proteome"
42,1479,2923,50.5986999657886,"proteome"
43,5,2923,0.17105713308245,"proteome"
44,99,2923,3.3869312350325,"proteome"
45,92,2923,3.14745124871707,"proteome"
46,3,2923,0.10263427984947,"proteome"
47,16,2923,0.547382825863839,"proteome"
48,4,2923,0.13684570646596,"proteome"
49,68,2923,2.32637700992131,"proteome"
50,154,2923,5.26855969893945,"proteome"
51,1464,2923,50.0855285665412,"proteome"
52,29,2923,0.992131371878207,"proteome"
53,1462,2923,50.0171057133082,"proteome"
54,2,2923,0.0684228532329798,"proteome"
55,1463,2923,50.0513171399247,"proteome"
56,1069,2923,36.5720150530277,"proteome"
57,205,2923,7.01334245638043,"proteome"
58,189,2923,6.46595963051659,"proteome"
59,1562,2923,53.4382483749572,"proteome"
60,4,2923,0.13684570646596,"proteome"
61,100,2923,3.42114266164899,"proteome"
62,90,2923,3.07902839548409,"proteome"
63,8,2923,0.273691412931919,"proteome"
64,1461,2923,49.9828942866918,"proteome"
65,1466,2923,50.1539514197742,"proteome"
66,1467,2923,50.1881628463907,"proteome"
67,4,2923,0.13684570646596,"proteome"
68,5,2923,0.17105713308245,"proteome"
69,7,2923,0.239479986315429,"proteome"
70,7,2923,0.239479986315429,"proteome"
71,5,2923,0.17105713308245,"proteome"
72,68,2923,2.32637700992131,"proteome"
73,68,2923,2.32637700992131,"proteome"
74,101,2923,3.45535408826548,"proteome"
75,7,2923,0.239479986315429,"proteome"
76,8,2923,0.273691412931919,"proteome"
77,360,2923,12.3161135819364,"proteome"
78,6,2923,0.205268559698939,"proteome"
79,102,2923,3.48956551488197,"proteome"
80,5,2923,0.17105713308245,"proteome"
81,8,2923,0.273691412931919,"proteome"
82,299,2923,10.2292165583305,"proteome"
83,7,2923,0.239479986315429,"proteome"
84,2,2923,0.0684228532329798,"proteome"
85,1463,2923,50.0513171399247,"proteome"
86,18,2923,0.615805679096818,"proteome"
87,812,2923,27.7796784125898,"proteome"
88,4,2923,0.13684570646596,"proteome"
89,7,2923,0.239479986315429,"proteome"
90,77,2923,2.63427984946972,"proteome"
91,8,2923,0.273691412931919,"proteome"
92,15,2923,0.513171399247349,"proteome"
93,1462,2923,50.0171057133082,"proteome"
94,17,2923,0.581594252480328,"proteome"
95,1472,2923,50.3592199794731,"proteome"
96,109,2923,3.7290455011974,"proteome"
97,5,2923,0.17105713308245,"proteome"
98,4,2923,0.13684570646596,"proteome"
99,3,2923,0.10263427984947,"proteome"
100,277,2923,9.4765651727677,"proteome"
101,6,2923,0.205268559698939,"proteome"
102,6,2923,0.205268559698939,"proteome"
103,1577,2923,53.9514197742046,"proteome"
104,7,2923,0.239479986315429,"proteome"
105,101,2923,3.45535408826548,"proteome"
106,9,2923,0.307902839548409,"proteome"
107,1462,2923,50.0171057133082,"proteome"
108,1461,2923,49.9828942866918,"proteome"
109,115,2923,3.93431406089634,"proteome"
110,9,2923,0.307902839548409,"proteome"
111,6,2923,0.205268559698939,"proteome"
112,485,2923,16.5925419089976,"proteome"
113,118,2923,4.03694834074581,"proteome"
114,1468,2923,50.2223742730072,"proteome"
115,118,2923,4.03694834074581,"proteome"
116,1155,2923,39.5141977420458,"proteome"
117,3,2923,0.10263427984947,"proteome"
118,222,2923,7.59493670886076,"proteome"
119,57,2923,1.95005131713992,"proteome"
120,4,2923,0.13684570646596,"proteome"
121,103,2923,3.52377694149846,"proteome"
122,115,2923,3.93431406089634,"proteome"
123,3,2923,0.10263427984947,"proteome"
124,1463,2923,50.0513171399247,"proteome"
125,1461,2923,49.9828942866918,"proteome"
126,2,2923,0.0684228532329798,"proteome"
127,117,2923,4.00273691412932,"proteome"
128,100,2923,3.42114266164899,"proteome"
129,1464,2923,50.0855285665412,"proteome"
130,1478,2923,50.5644885391721,"proteome"
131,1525,2923,52.1724255901471,"proteome"
132,4,2923,0.13684570646596,"proteome"
133,17,2923,0.581594252480328,"proteome"
134,8,2923,0.273691412931919,"proteome"
135,22,2923,0.752651385562778,"proteome"
136,5,2923,0.17105713308245,"proteome"
137,15,2923,0.513171399247349,"proteome"
138,3,2923,0.10263427984947,"proteome"
139,150,2923,5.13171399247349,"proteome"
140,1463,2923,50.0513171399247,"proteome"
141,5,2923,0.17105713308245,"proteome"
142,379,2923,12.9661306876497,"proteome"
143,11,2923,0.376325692781389,"proteome"
144,1568,2923,53.6435169346562,"proteome"
145,5,2923,0.17105713308245,"proteome"
146,525,2923,17.9609989736572,"proteome"
147,96,2923,3.28429695518303,"proteome"
148,3,2923,0.10263427984947,"proteome"
149,1462,2923,50.0171057133082,"proteome"
150,4,2923,0.13684570646596,"proteome"
151,4,2923,0.13684570646596,"proteome"
152,18,2923,0.615805679096818,"proteome"
153,1563,2923,53.4724598015737,"proteome"
154,3,2923,0.10263427984947,"proteome"
155,206,2923,7.04755388299692,"proteome"
156,3,2923,0.10263427984947,"proteome"
157,13,2923,0.444748546014369,"proteome"
158,5,2923,0.17105713308245,"proteome"
159,4,2923,0.13684570646596,"proteome"
160,1480,2923,50.6329113924051,"proteome"
161,8,2923,0.273691412931919,"proteome"
162,3,2923,0.10263427984947,"proteome"
163,98,2923,3.35271980841601,"proteome"
164,2,2923,0.0684228532329798,"proteome"
165,2,2923,0.0684228532329798,"proteome"
166,1462,2923,50.0171057133082,"proteome"
167,6,2923,0.205268559698939,"proteome"
168,96,2923,3.28429695518303,"proteome"
169,6,2923,0.205268559698939,"proteome"
170,13,2923,0.444748546014369,"proteome"
171,238,2923,8.1423195347246,"proteome"
172,3,2923,0.10263427984947,"proteome"
