component,side,method,name,weight,abs_w,rank
2,metabolites,scca,fid_23409,0.31169882217055717,0.31169882217055717,1
2,metabolites,scca,fid_23496,0.2942789979057218,0.2942789979057218,2
2,metabolites,scca,fid_23522,0.2803047528330334,0.2803047528330334,3
2,metabolites,scca,fid_23431,0.2597450486255995,0.2597450486255995,4
2,metabolites,scca,fid_23501,0.2573371291803339,0.2573371291803339,5
2,metabolites,scca,fid_23508,0.24098692530613824,0.24098692530613824,6
2,metabolites,scca,fid_23424,0.23895201572764263,0.23895201572764263,7
2,metabolites,scca,fid_23487,0.238516114191372,0.238516114191372,8
2,metabolites,scca,fid_23638,0.22649168145201595,0.22649168145201595,9
2,metabolites,scca,fid_23536,0.22102454999060905,0.22102454999060905,10
2,metabolites,scca,fid_23491,0.2098555519732235,0.2098555519732235,11
2,metabolites,scca,fid_23458,0.20796149965559854,0.20796149965559854,12
2,metabolites,scca,fid_23633,0.2051360846469514,0.2051360846469514,13
2,metabolites,scca,fid_23493,0.1974850731147822,0.1974850731147822,14
2,metabolites,scca,fid_23617,-0.1718434965971868,0.1718434965971868,15
2,metabolites,scca,fid_23498,0.15798538679793742,0.15798538679793742,16
2,metabolites,scca,fid_23500,0.1523701951447478,0.1523701951447478,17
2,metabolites,scca,fid_23410,0.13926176769529963,0.13926176769529963,18
2,metabolites,scca,fid_23529,0.13853290189391132,0.13853290189391132,19
2,metabolites,scca,fid_23571,0.12549570542936697,0.12549570542936697,20
2,metabolites,scca,fid_23412,0.10814709653393748,0.10814709653393748,21
2,metabolites,scca,fid_23448,0.08975925167316022,0.08975925167316022,22
2,metabolites,scca,fid_23639,0.0551397277427101,0.0551397277427101,23
2,metabolites,scca,fid_23627,-0.0501892239506996,0.0501892239506996,24
2,metabolites,scca,fid_23578,-0.04501749387267968,0.04501749387267968,25
