module,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
4,GO:0007631,feeding behavior,8/68,108/18986,0.07407407407407407,20.681917211328972,12.297686967947566,4.6961293505761365e-9,7.274304364042436e-6,5.6897314552769825e-6,GCG/LEP/OXT/ACE2/PPY/PYY/GDF15/REN,8
4,GO:0022600,digestive system process,6/68,112/18986,0.05357142857142857,14.957457983193276,8.881892482977424,2.99334231550164e-6,0.00231834362335602,0.0018133352658644146,PRAP1/LEP/OXT/MUC13/FABP1/HEPH,6
4,GO:0042756,drinking behavior,3/68,11/18986,0.2727272727272727,76.1470588235294,14.946502677036952,7.103132736350938e-6,0.0028061469658345706,0.0021948796559244275,OXT/ACE2/REN,3
4,GO:0016486,peptide hormone processing,4/68,35/18986,0.11428571428571428,31.90924369747899,10.973078385251895,7.2463446503152245e-6,0.0028061469658345706,0.0021948796559244275,FURIN/ACE2/REN/MEP1A,4
4,GO:0007250,activation of NF-kappaB-inducing kinase activity,3/68,12/18986,0.25,69.80147058823529,14.293251731460632,9.446546989629151e-6,0.002820948792114391,0.00220645717761793,TNFRSF10A/CHI3L1/TNFRSF10B,3
4,GO:0140448,signaling receptor ligand precursor processing,4/68,39/18986,0.10256410256410256,28.636500754147814,10.357794151045008,1.1261059319271323e-5,0.002820948792114391,0.00220645717761793,FURIN/ACE2/REN/MEP1A,4
4,GO:0007586,digestion,6/68,144/18986,0.041666666666666664,11.633578431372548,7.679259285805586,1.2747993250355546e-5,0.002820948792114391,0.00220645717761793,PRAP1/LEP/OXT/MUC13/FABP1/HEPH,6
4,GO:0050892,intestinal absorption,4/68,44/18986,0.09090909090909091,25.38235294117647,9.707584557508211,1.83371308552203e-5,0.0035505269618420305,0.002777110212415601,PRAP1/LEP/FABP1/HEPH,4
4,GO:1905952,regulation of lipid localization,6/68,188/18986,0.031914893617021274,8.910826032540674,6.5353233859606545,5.722714969640682e-5,0.009849428319970464,0.007703912198896405,PRAP1/CES1/FURIN/LEP/OXT/REN,6
4,GO:0032147,activation of protein kinase activity,4/68,61/18986,0.06557377049180328,18.30858244937319,8.11765558394769,6.733876046763118e-5,0.01043077399643607,0.008158622452446683,LEP/TNFRSF10A/CHI3L1/TNFRSF10B,4
4,GO:0032890,regulation of organic acid transport,4/68,78/18986,0.05128205128205128,14.318250377073907,7.066328551185506,1.7583939097996936e-4,0.021482826044801468,0.016803189003137164,CES1/LEP/OXT/ACE2,4
4,GO:0043434,response to peptide hormone,8/68,446/18986,0.017937219730941704,5.008177261936164,5.135486961985488,1.8742321705188892e-4,0.021482826044801468,0.016803189003137164,RARRES2/GCG/LEP/IGFBP1/OXT/GDF15/GIP/AREG,8
4,GO:0008203,cholesterol metabolic process,5/68,148/18986,0.033783783783783786,9.432631160572338,6.174456180692805,1.8888696188764094e-4,0.021482826044801468,0.016803189003137164,CES1/LEP/MVK/SULT2A1/SMPD1,5
4,GO:0001934,positive regulation of protein phosphorylation,8/68,455/18986,0.017582417582417582,4.909114414996768,5.060073191123822,2.1465781604082849e-4,0.021482826044801468,0.016803189003137164,RARRES2/GCG/LEP/KITLG/TNFRSF10A/CHI3L1/TNFRSF10B/AREG,8
4,GO:0042445,hormone metabolic process,6/68,241/18986,0.024896265560165973,6.951183793019282,5.5743124549416825,2.2294664180956525e-4,0.021482826044801468,0.016803189003137164,FURIN/LEP/ACE2/SULT2A1/REN/MEP1A,6
4,GO:0032368,regulation of lipid transport,5/68,156/18986,0.03205128205128205,8.948906485671191,5.9767717888981755,2.4125864555155945e-4,0.021482826044801468,0.016803189003137164,PRAP1/CES1/FURIN/OXT/REN,5
4,GO:0062012,regulation of small molecule metabolic process,7/68,348/18986,0.020114942528735632,5.616210277214334,5.21071953839224,2.4303872823014933e-4,0.021482826044801468,0.016803189003137164,CES1/IGFBP4/GCG/LEP/GDF15/GIP/FABP1,7
4,GO:0016125,sterol metabolic process,5/68,159/18986,0.031446540880503145,8.780059193488716,5.906266629668116,2.63507872725131e-4,0.021482826044801468,0.016803189003137164,CES1/LEP/MVK/SULT2A1/SMPD1,5
4,GO:1902652,secondary alcohol metabolic process,5/68,159/18986,0.031446540880503145,8.780059193488716,5.906266629668116,2.63507872725131e-4,0.021482826044801468,0.016803189003137164,CES1/LEP/MVK/SULT2A1/SMPD1,5
4,GO:0042327,positive regulation of phosphorylation,8/68,479/18986,0.016701461377870562,4.663146260591919,4.868286740249521,0.00030357623721158047,0.023511979572036906,0.01839032889634364,RARRES2/GCG/LEP/KITLG/TNFRSF10A/CHI3L1/TNFRSF10B/AREG,8
4,GO:0042755,eating behavior,3/68,39/18986,0.07692307692307693,21.47737556561086,7.674648927122335,3.6617117947529074e-4,0.02700948366701073,0.021125966294539333,LEP/OXT/GDF15,3
4,GO:0032094,response to food,3/68,40/18986,0.075,20.94044117647059,7.568819326604571,3.948489544155698e-4,0.027800955926805346,0.02174503093456081,LEP/OXT/GDF15,3
4,GO:0044058,regulation of digestive system process,3/68,43/18986,0.06976744186046512,19.479480164158687,7.273136608714508,4.894304659552999e-4,0.03296207790281563,0.02578189777183296,PRAP1/LEP/OXT,3
4,GO:0002002,regulation of angiotensin levels in blood,2/68,10/18986,0.2,55.84117647058824,10.39983798207325,5.583380764051997e-4,0.03603607001465226,0.02818627745361337,ACE2/REN,2
4,GO:1901890,positive regulation of cell junction assembly,4/68,110/18986,0.03636363636363636,10.152941176470588,5.771971473599546,6.531176793089964e-4,0.04046717140998542,0.031652145216196,OXT/ACE2/THBS2/SLITRK1,4
4,GO:0008206,bile acid metabolic process,3/68,51/18986,0.058823529411764705,16.42387543252595,6.612536601407021,8.091764340146045e-4,0.04208696856320247,0.03291909946399786,CES1/LEP/SULT2A1,3
4,GO:0032096,negative regulation of response to food,2/68,12/18986,0.16666666666666666,46.53431372549019,9.459585717184126,8.151123672666715e-4,0.04208696856320247,0.03291909946399786,LEP/GDF15,2
4,GO:0032099,negative regulation of appetite,2/68,12/18986,0.16666666666666666,46.53431372549019,9.459585717184126,8.151123672666715e-4,0.04208696856320247,0.03291909946399786,LEP/GDF15,2
4,GO:0032108,negative regulation of response to nutrient levels,2/68,12/18986,0.16666666666666666,46.53431372549019,9.459585717184126,8.151123672666715e-4,0.04208696856320247,0.03291909946399786,LEP/GDF15,2
4,GO:1904729,regulation of intestinal lipid absorption,2/68,12/18986,0.16666666666666666,46.53431372549019,9.459585717184126,8.151123672666715e-4,0.04208696856320247,0.03291909946399786,PRAP1/LEP,2
4,GO:0140353,lipid export from cell,3/68,52/18986,0.057692307692307696,16.108031674208146,6.540493503334715,8.565266244170325e-4,0.0427987013297414,0.033475794387232756,LEP/OXT/REN,3
4,GO:0036462,TRAIL-activated apoptotic signaling pathway,2/68,13/18986,0.15384615384615385,42.95475113122172,9.072082032566335,9.610875230281288e-4,0.04652264291158036,0.03638854404622949,TNFRSF10A/TNFRSF10B,2
4,GO:0043270,positive regulation of monoatomic ion transport,5/68,215/18986,0.023255813953488372,6.493160054719562,4.856461217522826,0.001038382942841136,0.04829572706548354,0.03777539455157592,PRSS8/GCG/LEP/PDZK1/HEPH,5
4,GO:0034764,positive regulation of transmembrane transport,5/68,216/18986,0.023148148148148147,6.463099128540304,4.841232796303373,0.0010600740608304971,0.04829572706548354,0.03777539455157592,ACE2/OCLN/GIP/PDZK1/HEPH,5
4,GO:1904478,regulation of intestinal absorption,2/68,14/18986,0.14285714285714285,39.88655462184874,8.726278559989563,0.001118677165808941,0.04950945513822999,0.038724734371311006,PRAP1/LEP,2
4,GO:0006869,lipid transport,7/68,459/18986,0.015250544662309368,4.258041778803025,4.23625981073901,0.0012536724843073817,0.04987000439105726,0.03900674462580742,PRAP1/CES1/FURIN/LEP/OXT/FABP1/REN,7
4,GO:0046321,positive regulation of fatty acid oxidation,2/68,15/18986,0.13333333333333333,37.227450980392156,8.415122482046375,0.0012877986931196194,0.04987000439105726,0.03900674462580742,GDF15/FABP1,2
4,GO:0046598,positive regulation of viral entry into host cell,2/68,15/18986,0.13333333333333333,37.227450980392156,8.415122482046375,0.0012877986931196194,0.04987000439105726,0.03900674462580742,FURIN/SMPD1,2
4,GO:0060456,positive regulation of digestive system process,2/68,15/18986,0.13333333333333333,37.227450980392156,8.415122482046375,0.0012877986931196194,0.04987000439105726,0.03900674462580742,PRAP1/OXT,2
4,GO:0075294,positive regulation by symbiont of entry into host,2/68,15/18986,0.13333333333333333,37.227450980392156,8.415122482046375,0.0012877986931196194,0.04987000439105726,0.03900674462580742,FURIN/SMPD1,2
